substep,detached_particles,detached_fraction,broken_bonds,broken_bond_fraction,porosity,permeability_multiplier,returned_detachment_multiplier
28,77,1.0,136,1.0,0.58,15.608216854450102,3.7
29,77,1.0,136,1.0,0.58,15.608216854450102,3.7
30,77,1.0,136,1.0,0.58,15.608216854450102,3.7
31,77,1.0,136,1.0,0.58,15.608216854450102,3.7
32,77,1.0,136,1.0,0.58,15.608216854450102,3.7
33,77,1.0,136,1.0,0.58,15.608216854450102,3.7
34,77,1.0,136,1.0,0.58,15.608216854450102,3.7
35,77,1.0,136,1.0,0.58,15.608216854450102,3.7
36,77,1.0,136,1.0,0.58,15.608216854450102,3.7
37,77,1.0,136,1.0,0.58,15.608216854450102,3.7
38,77,1.0,136,1.0,0.58,15.608216854450102,3.7
39,77,1.0,136,1.0,0.58,15.608216854450102,3.7
40,77,1.0,136,1.0,0.58,15.608216854450102,3.7
41,77,1.0,136,1.0,0.58,15.608216854450102,3.7
42,77,1.0,136,1.0,0.58,15.608216854450102,3.7
43,77,1.0,136,1.0,0.58,15.608216854450102,3.7
44,77,1.0,136,1.0,0.58,15.608216854450102,3.7
45,77,1.0,136,1.0,0.58,15.608216854450102,3.7
46,77,1.0,136,1.0,0.58,15.608216854450102,3.7
47,77,1.0,136,1.0,0.58,15.608216854450102,3.7
48,77,1.0,136,1.0,0.58,15.608216854450102,3.7
49,77,1.0,136,1.0,0.58,15.608216854450102,3.7
50,77,1.0,136,1.0,0.58,15.608216854450102,3.7
51,77,1.0,136,1.0,0.58,15.608216854450102,3.7
52,77,1.0,136,1.0,0.58,15.608216854450102,3.7
53,77,1.0,136,1.0,0.58,15.608216854450102,3.7
54,77,1.0,136,1.0,0.58,15.608216854450102,3.7
55,77,1.0,136,1.0,0.58,15.608216854450102,3.7
56,77,1.0,136,1.0,0.58,15.608216854450102,3.7
57,77,1.0,136,1.0,0.58,15.608216854450102,3.7
58,77,1.0,136,1.0,0.58,15.608216854450102,3.7
59,77,1.0,136,1.0,0.58,15.608216854450102,3.7
60,77,1.0,136,1.0,0.58,15.608216854450102,3.7
61,77,1.0,136,1.0,0.58,15.608216854450102,3.7
62,77,1.0,136,1.0,0.58,15.608216854450102,3.7
63,77,1.0,136,1.0,0.58,15.608216854450102,3.7
64,77,1.0,136,1.0,0.58,15.608216854450102,3.7
65,77,1.0,136,1.0,0.58,15.608216854450102,3.7
66,77,1.0,136,1.0,0.58,15.608216854450102,3.7
67,77,1.0,136,1.0,0.58,15.608216854450102,3.7
68,77,1.0,136,1.0,0.58,15.608216854450102,3.7
69,77,1.0,136,1.0,0.58,15.608216854450102,3.7
70,77,1.0,136,1.0,0.58,15.608216854450102,3.7
71,77,1.0,136,1.0,0.58,15.608216854450102,3.7
72,77,1.0,136,1.0,0.58,15.608216854450102,3.7
73,77,1.0,136,1.0,0.58,15.608216854450102,3.7
74,77,1.0,136,1.0,0.58,15.608216854450102,3.7
75,77,1.0,136,1.0,0.58,15.608216854450102,3.7
76,77,1.0,136,1.0,0.58,15.608216854450102,3.7
77,77,1.0,136,1.0,0.58,15.608216854450102,3.7
78,77,1.0,136,1.0,0.58,15.608216854450102,3.7
79,77,1.0,136,1.0,0.58,15.608216854450102,3.7
80,77,1.0,136,1.0,0.58,15.608216854450102,3.7
81,77,1.0,136,1.0,0.58,15.608216854450102,3.7
82,77,1.0,136,1.0,0.58,15.608216854450102,3.7
83,77,1.0,136,1.0,0.58,15.608216854450102,3.7
84,77,1.0,136,1.0,0.58,15.608216854450102,3.7
85,77,1.0,136,1.0,0.58,15.608216854450102,3.7
86,77,1.0,136,1.0,0.58,15.608216854450102,3.7
87,77,1.0,136,1.0,0.58,15.608216854450102,3.7
88,77,1.0,136,1.0,0.58,15.608216854450102,3.7
89,77,1.0,136,1.0,0.58,15.608216854450102,3.7
90,77,1.0,136,1.0,0.58,15.608216854450102,3.7
91,77,1.0,136,1.0,0.58,15.608216854450102,3.7
92,77,1.0,136,1.0,0.58,15.608216854450102,3.7
93,77,1.0,136,1.0,0.58,15.608216854450102,3.7
94,77,1.0,136,1.0,0.58,15.608216854450102,3.7
95,77,1.0,136,1.0,0.58,15.608216854450102,3.7
96,77,1.0,136,1.0,0.58,15.608216854450102,3.7
97,77,1.0,136,1.0,0.58,15.608216854450102,3.7
98,77,1.0,136,1.0,0.58,15.608216854450102,3.7
99,77,1.0,136,1.0,0.58,15.608216854450102,3.7
100,77,1.0,136,1.0,0.58,15.608216854450102,3.7
101,77,1.0,136,1.0,0.58,15.608216854450102,3.7
102,77,1.0,136,1.0,0.58,15.608216854450102,3.7
103,77,1.0,136,1.0,0.58,15.608216854450102,3.7
104,77,1.0,136,1.0,0.58,15.608216854450102,3.7
105,77,1.0,136,1.0,0.58,15.608216854450102,3.7
106,77,1.0,136,1.0,0.58,15.608216854450102,3.7
107,77,1.0,136,1.0,0.58,15.608216854450102,3.7
108,77,1.0,136,1.0,0.58,15.608216854450102,3.7
109,77,1.0,136,1.0,0.58,15.608216854450102,3.7
110,77,1.0,136,1.0,0.58,15.608216854450102,3.7
111,77,1.0,136,1.0,0.58,15.608216854450102,3.7
112,77,1.0,136,1.0,0.58,15.608216854450102,3.7
113,77,1.0,136,1.0,0.58,15.608216854450102,3.7
114,77,1.0,136,1.0,0.58,15.608216854450102,3.7
115,77,1.0,136,1.0,0.58,15.608216854450102,3.7
116,77,1.0,136,1.0,0.58,15.608216854450102,3.7
117,77,1.0,136,1.0,0.58,15.608216854450102,3.7
118,77,1.0,136,1.0,0.58,15.608216854450102,3.7
119,77,1.0,136,1.0,0.58,15.608216854450102,3.7
120,77,1.0,136,1.0,0.58,15.608216854450102,3.7
121,77,1.0,136,1.0,0.58,15.608216854450102,3.7
122,77,1.0,136,1.0,0.58,15.608216854450102,3.7
123,77,1.0,136,1.0,0.58,15.608216854450102,3.7
124,77,1.0,136,1.0,0.58,15.608216854450102,3.7
125,77,1.0,136,1.0,0.58,15.608216854450102,3.7
126,77,1.0,136,1.0,0.58,15.608216854450102,3.7
127,77,1.0,136,1.0,0.58,15.608216854450102,3.7
128,77,1.0,136,1.0,0.58,15.608216854450102,3.7
129,77,1.0,136,1.0,0.58,15.608216854450102,3.7
130,77,1.0,136,1.0,0.58,15.608216854450102,3.7
131,77,1.0,136,1.0,0.58,15.608216854450102,3.7
132,77,1.0,136,1.0,0.58,15.608216854450102,3.7
133,77,1.0,136,1.0,0.58,15.608216854450102,3.7
134,77,1.0,136,1.0,0.58,15.608216854450102,3.7
135,77,1.0,136,1.0,0.58,15.608216854450102,3.7
136,77,1.0,136,1.0,0.58,15.608216854450102,3.7
137,77,1.0,136,1.0,0.58,15.608216854450102,3.7
138,77,1.0,136,1.0,0.58,15.608216854450102,3.7
139,77,1.0,136,1.0,0.58,15.608216854450102,3.7
140,77,1.0,136,1.0,0.58,15.608216854450102,3.7
141,77,1.0,136,1.0,0.58,15.608216854450102,3.7
142,77,1.0,136,1.0,0.58,15.608216854450102,3.7
143,77,1.0,136,1.0,0.58,15.608216854450102,3.7
144,77,1.0,136,1.0,0.58,15.608216854450102,3.7
145,77,1.0,136,1.0,0.58,15.608216854450102,3.7
146,77,1.0,136,1.0,0.58,15.608216854450102,3.7
147,77,1.0,136,1.0,0.58,15.608216854450102,3.7
148,77,1.0,136,1.0,0.58,15.608216854450102,3.7
149,77,1.0,136,1.0,0.58,15.608216854450102,3.7
150,77,1.0,136,1.0,0.58,15.608216854450102,3.7
151,77,1.0,136,1.0,0.58,15.608216854450102,3.7
152,77,1.0,136,1.0,0.58,15.608216854450102,3.7
153,77,1.0,136,1.0,0.58,15.608216854450102,3.7
154,77,1.0,136,1.0,0.58,15.608216854450102,3.7
155,77,1.0,136,1.0,0.58,15.608216854450102,3.7
156,77,1.0,136,1.0,0.58,15.608216854450102,3.7
157,77,1.0,136,1.0,0.58,15.608216854450102,3.7
158,77,1.0,136,1.0,0.58,15.608216854450102,3.7
159,77,1.0,136,1.0,0.58,15.608216854450102,3.7
160,77,1.0,136,1.0,0.58,15.608216854450102,3.7
161,77,1.0,136,1.0,0.58,15.608216854450102,3.7
162,77,1.0,136,1.0,0.58,15.608216854450102,3.7
163,77,1.0,136,1.0,0.58,15.608216854450102,3.7
164,77,1.0,136,1.0,0.58,15.608216854450102,3.7
165,77,1.0,136,1.0,0.58,15.608216854450102,3.7
166,77,1.0,136,1.0,0.58,15.608216854450102,3.7
167,77,1.0,136,1.0,0.58,15.608216854450102,3.7
168,77,1.0,136,1.0,0.58,15.608216854450102,3.7
169,77,1.0,136,1.0,0.58,15.608216854450102,3.7
170,77,1.0,136,1.0,0.58,15.608216854450102,3.7
171,77,1.0,136,1.0,0.58,15.608216854450102,3.7
172,77,1.0,136,1.0,0.58,15.608216854450102,3.7
173,77,1.0,136,1.0,0.58,15.608216854450102,3.7
174,77,1.0,136,1.0,0.58,15.608216854450102,3.7
175,77,1.0,136,1.0,0.58,15.608216854450102,3.7
176,77,1.0,136,1.0,0.58,15.608216854450102,3.7
177,77,1.0,136,1.0,0.58,15.608216854450102,3.7
178,77,1.0,136,1.0,0.58,15.608216854450102,3.7
179,77,1.0,136,1.0,0.58,15.608216854450102,3.7
180,77,1.0,136,1.0,0.58,15.608216854450102,3.7
181,77,1.0,136,1.0,0.58,15.608216854450102,3.7
182,77,1.0,136,1.0,0.58,15.608216854450102,3.7
183,77,1.0,136,1.0,0.58,15.608216854450102,3.7
184,77,1.0,136,1.0,0.58,15.608216854450102,3.7
185,77,1.0,136,1.0,0.58,15.608216854450102,3.7
