date,section,q_star_width_norm_mean,q_star_width_norm_p95,level_upstream_m_mean,sample_count
2022-12-17,section_2,1.546986645307364e-06,1.6756294060134166e-06,3.099919829424307,1407
2022-12-17,section_3,6.106886492302523e-07,6.492456363176597e-07,3.099919829424307,1407
2022-12-17,section_4,2.9128470769841368e-08,3.8083890330363486e-08,3.099919829424307,1407
2022-12-17,section_5,1.4675465500686578e-08,2.177905639586368e-08,3.099919829424307,1407
2022-12-17,section_6,1.003200087261918e-06,1.0758575904661792e-06,3.099919829424307,1407
2022-12-17,section_7,1.3554305666995157e-06,1.4727010642591634e-06,3.099919829424307,1407
2022-12-17,section_8,6.5833105528697e-06,6.892410986965044e-06,3.099919829424307,1407
2022-12-18,section_1,7.074146120519222e-06,7.584146598884259e-06,2.9871145138888893,1440
2022-12-18,section_2,1.2262016766376315e-06,1.3708077863010418e-06,2.9871145138888893,1440
2022-12-18,section_3,6.01060872428857e-07,6.237039313783522e-07,2.9871145138888893,1440
2022-12-18,section_4,1.74357462274935e-08,2.1965567646471984e-08,2.9871145138888893,1440
2022-12-18,section_5,8.749151663180356e-09,1.1513014273986855e-08,2.9871145138888893,1440
2022-12-18,section_6,7.771890869087084e-07,8.720929510193155e-07,2.9871145138888893,1440
2022-12-18,section_7,1.0302045679639729e-06,1.152105128894263e-06,2.9871145138888893,1440
2022-12-18,section_8,6.06572312904822e-06,6.374175117001478e-06,2.9871145138888893,1440
2022-12-19,section_1,6.049966459800891e-06,6.44444287014103e-06,2.887507708333333,1440
2022-12-19,section_2,8.936497145806847e-07,1.0250874313863175e-06,2.887507708333333,1440
2022-12-19,section_3,5.036787713282439e-07,5.58430638898083e-07,2.887507708333333,1440
2022-12-19,section_4,8.955366704578024e-09,1.2288051751424582e-08,2.887507708333333,1440
2022-12-19,section_5,4.487888307514471e-09,6.092466991903132e-09,2.887507708333333,1440
2022-12-19,section_6,6.287835662640419e-07,6.936123184056016e-07,2.887507708333333,1440
2022-12-19,section_7,7.869118804442151e-07,9.112901991076276e-07,2.887507708333333,1440
2022-12-19,section_8,5.539765934391794e-06,5.825097053357871e-06,2.887507708333333,1440
2022-12-20,section_1,5.334081373032554e-06,5.532739836995932e-06,2.796412708333333,1440
2022-12-20,section_2,6.141941394152393e-07,7.043472853602841e-07,2.796412708333333,1440
2022-12-20,section_3,3.726322839768958e-07,4.527291391350671e-07,2.796412708333333,1440
2022-12-20,section_4,4.2406104709148875e-09,5.684668268848413e-09,2.796412708333333,1440
2022-12-20,section_5,2.958640289351581e-09,3.773044453816976e-09,2.796412708333333,1440
2022-12-20,section_6,5.074935687931842e-07,5.607847680461189e-07,2.796412708333333,1440
2022-12-20,section_7,5.95483421015751e-07,6.777922458755818e-07,2.796412708333333,1440
2022-12-20,section_8,4.98989570664921e-06,5.266648807565161e-06,2.796412708333333,1440
2022-12-21,section_1,6.427590878941269e-06,8.398056910572871e-06,2.9298468749999995,1440
2022-12-21,section_2,8.813053850435066e-07,1.4217781150865833e-06,2.9298468749999995,1440
2022-12-21,section_3,3.238731568807599e-07,3.68999787590824e-07,2.9298468749999995,1440
2022-12-21,section_4,1.2690683224212592e-08,2.637640330416528e-08,2.9298468749999995,1440
2022-12-21,section_5,7.08768748311423e-09,1.4812063653557874e-08,2.9298468749999995,1440
2022-12-21,section_6,6.724052762122308e-07,9.752037862812835e-07,2.9298468749999995,1440
